sampleID,sampleLat,sampleLon,t2m_ave,t2m_var,t2m_ac,tp_ave,tp_var,tp_ac,def_ave,def_var,def_ac,ssrd_ave,ssrd_var,ssrd_ac,fc
9033,-1.7,-60.1,299.111444498698,1.1803581417278,0.53268355731665,0.00913853534701047,2.31973944390742e-05,0.211312301421047,0.0128765418571614,2.34806720585493e-05,0.224369161893905,16296426.0916667,11410902408974.9,0.303734190904149,100
9034,-16.9,-62.4,298.103573404948,4.29108772353517,0.0827234439315651,0.0030030187885374,5.6722528158589e-06,0.0638503739133156,0.00563405098068567,1.01941980567009e-05,0.127407555768905,17359534.2116667,15113907209152.1,0.192283576104441,4
9035,-16.8,-68.6,280.015324707031,2.17257092492038,0.310352001531347,0.0038479946306173,1.48301857796738e-05,0.127130023561736,0.00603422279167413,1.94038177616668e-05,0.183332584709362,23161241.9816667,21062304395813.1,0.214034763858679,0
9039,-13.8,-61.4,298.675402832031,1.66311936917712,0.321392508915932,0.00452754671575955,1.44757428658282e-05,0.156949217151551,0.00777948356124095,2.17273484893684e-05,0.24565537519184,17532530.4916667,10815796190304.7,0.297369011176059,100
9040,8.9,-81.8,296.883964029948,1.00468336238444,0.492274111570626,0.0119329606105263,2.82514411144957e-05,0.101223440925715,0.0154103406472132,2.97105261908652e-05,0.117217254933375,14720198.455,10485658550131.3,0.17110863847839,98
9041,-14.2,-65.9,298.672368977865,2.31004874738895,0.140533766814283,0.00535028451968174,1.610068422226e-05,0.155324786709873,0.00877011273746878,2.19686898454343e-05,0.207918841020283,16851758.0016667,11341520121147.7,0.225494906169053,0
9043,-13.6,-63.7,299.145611165365,1.83287051155349,0.246871991502607,0.00397749224951137,9.6562447131954e-06,0.0836436022176344,0.00707340130700686,1.4570561739075e-05,0.164321785325778,17391665.435,11219046910870.8,0.259511057349239,71
9046,-1.4,-69.5,298.690240071615,0.564595177428114,0.459918899595663,0.00825999390236878,8.1196014937713e-06,0.115013512376775,0.0117919347704931,8.81667795115333e-06,0.125590802191599,15415336.8016667,9428906074172.75,0.277414864309613,100
9048,-18.5,-51.3,297.378573404948,3.20474232586663,0.148895579740548,0.00326793919236062,1.03332150591691e-05,0.098180389604601,0.00600915328052489,1.83045964015757e-05,0.187033295198571,18704747.3933333,14162666929947.3,0.151711128112528,0
9050,-5.3,-69.7,298.224901529948,0.534546315749088,0.509838738757286,0.00729032874126763,9.84305284939311e-06,0.282881253516867,0.0109081226496104,1.08064066079395e-05,0.296831746603279,15689295.875,9334967704815.18,0.37375744616248,98
9057,-16.6,-54.9,298.431691894531,2.51089852904197,0.216693402548912,0.00389761291124804,1.48922697280237e-05,0.0663061628552417,0.00661003653727107,2.43012291569695e-05,0.160567869370676,18688231.22,12493074031787.4,0.1093319262649,0
9059,-6.6,-58.4,299.785871582031,1.6465283069184,0.487039243897644,0.00614448669824924,1.83453421203281e-05,0.104116818873163,0.0101329652203761,1.81775640563937e-05,0.139124033127606,16859840.3016667,10242549658435.6,0.199581357092369,0
9060,-4.8,-53.2,298.624022623698,2.14885838354644,0.458805589501336,0.00559009612884741,1.85058202565647e-05,0.204219498670811,0.00853162685290348,2.06536220052891e-05,0.260883082450973,16511105.5683333,13499729595076.9,0.319146553677238,97
9061,-6.4,-66.3,298.800559082031,0.904441460831508,0.519126814700748,0.00637719867782531,1.21028709431142e-05,0.168147991772187,0.0100227851718713,1.33468788829856e-05,0.193692062493442,16239594.7683333,10245288614608.8,0.325668399234376,100
9066,-12.4,-64.8,298.944426269531,1.33458568298896,0.247749347827116,0.0048282522920393,1.33433459008515e-05,0.177326009629921,0.00815794328021487,1.87835841700905e-05,0.23880625161482,17209293.7316667,10821112655983.2,0.252651314587744,100
9067,-1.2,-53.2,299.443501790365,2.45676995697561,0.42183514757224,0.00459476955038554,1.40421730439521e-05,0.306254389169043,0.0076390194423099,1.65451969579136e-05,0.378820243719898,16994027.7016667,17318727274459.9,0.290007874442093,100
9068,-8.4,-73.1,298.205324707031,0.756748957173482,0.495658306067733,0.00601927882955351,9.36016481988728e-06,0.251939282144247,0.00967760401275882,1.11842274487146e-05,0.283939593714523,16400145.0016667,9882841707176.13,0.296184736837683,100
9069,-0.7,-74.7,298.088052571615,0.715672229643384,0.269634773112405,0.00756651304817448,6.97580171310885e-06,0.0679397841036794,0.0110586065488557,7.5544487463548e-06,0.0846661385333631,15395593.7416667,10548975902919,0.135973629722558,100
9070,-14.5,-71.1,278.100533040365,1.10473142996214,0.522104451560668,0.0042439248084338,1.3424930702689e-05,0.0668453769858718,0.00643118363469209,1.80534145582154e-05,0.113486056804899,21661570.6083333,16051661358373.3,0.225886081857407,0
9071,-3.7,-63.1,299.352551269531,0.872531971056326,0.459724615703293,0.00760842011222849,1.29389509527662e-05,0.112554712277119,0.0113151631433478,1.37375636603992e-05,0.134846898805846,16014509.1116667,9832024522805.91,0.261759323145614,97
9072,-12.3,-70.9,297.661822102865,1.31635665168664,0.236565467573536,0.00572102926438674,1.32011096322219e-05,0.0572862211498114,0.00936522631828363,1.69347463553425e-05,0.102398286290098,16288318.2916667,11515156701882.8,0.101865665993316,100
9074,-16.1,-59.7,298.542609863281,3.32744610563369,0.221413470233482,0.00342757466661889,8.9611657603277e-06,0.118597356264306,0.0063919048021531,1.55099228326251e-05,0.209817100574628,18207813.6866667,13564350872107.9,0.166433610544798,52
9077,-3.7,-70.6,298.617857259115,0.51188596380129,0.492606838540878,0.0076820614883521,8.72329007398235e-06,0.162928556046344,0.0111464715760667,9.44502346376528e-06,0.165898114396811,15365793.715,9351142162249.15,0.350536723490677,100
9078,-7.9,-73.9,298.052284342448,0.744224876790674,0.49421295852445,0.00619073295568038,8.35196810556423e-06,0.167994668380816,0.00986649715409537,9.99389011504446e-06,0.171139312170891,16388837.7283333,10001550217853.7,0.314562145013374,100
9079,0.5,-62,299.178677571615,1.38541568908338,0.557893582214746,0.0074451022476569,1.89266558889161e-05,0.13209476882888,0.0111296123721938,1.808184540619e-05,0.171611906946216,15911789.2716667,11780823281541.1,0.300598970613443,90
9080,-18.5,-65.4,288.305695800781,1.88138939742859,0.267210235034484,0.00251197609205216,5.53896074324855e-06,0.068340834019814,0.0048006010483247,1.07348740435605e-05,0.160074271366214,19582040.9866667,14700183927491.2,0.191871762547486,4
